Test ID,GWD (m),Elevation,L (km),L_new (km),Slope (%),PGA (g),Target
2467,2.66687083244324,4.59203052520752,1.07841407402239,0.792005010495484,2.34572005271912,0.439880639314651,True
2558,1.83570575714111,3.97649574279785,0.957269123073848,0.730946430278273,0.667641162872314,0.460276752710342,True
14964,1.49336338043213,0.0,2.22561490201505,1.17086293397801,0.0,0.40709513425827,False
32845,2.09548211097717,4.53752422332764,1.00400958904002,0.763422595694938,0.673223197460175,0.453595846891403,False
10112,1.76669502258301,3.35218119621277,0.699396555479747,0.525077308540428,0.671714663505554,0.466867506504059,True
43810,2.10329222679138,4.52738666534424,1.0371088221196,0.76099901113257,0.777355313301086,0.443318545818329,True
3941,1.85175657272339,4.33769607543945,1.02851305568709,0.753289369455583,0.619722247123718,0.446764230728149,True
2136,1.89040613174439,3.76566219329834,0.944872184376627,0.69694840010059,0.444570153951645,0.460276752710342,True
41949,2.48991370201111,4.63594055175781,1.17120620065025,0.832275905796239,1.04441356658936,0.436467796564102,False
51778,2.48991370201111,4.68739128112793,1.17894898864387,0.833335966025682,0.938235461711884,0.436467796564102,False
10831,1.94668579101563,0.0,2.41551109984087,1.22468429846157,0.0,0.403945982456207,True
25153,2.10329222679138,4.7140474319458,1.04548240178846,0.767240204489234,1.10542631149292,0.443318545818329,True
913,1.70185327529907,0.0,2.12630542802042,1.15554588501273,0.0,0.410266429185867,False
37116,1.92127346992493,0.0,2.44455781484904,1.23491831698879,0.0,0.400819420814514,True
29369,1.98353028297424,3.77036213874817,0.825522105526747,0.611690623819689,0.25798773765564,0.463575810194016,True
26047,2.06038236618042,4.56414127349854,1.03369667567108,0.75739211038877,0.145503476262093,0.446764230728149,True
2256,1.80498623847961,3.95029330253601,0.971135081089158,0.778689202323149,0.08554469794035,0.456954181194305,True
34736,1.87242412567139,4.47140979766846,1.0376848549251,0.760793686451378,0.853914439678192,0.446764230728149,True
2787,1.79595065116882,4.01898288726807,0.997567968961066,0.775963203998066,0.540547251701355,0.453595846891403,True
2377,2.49595093727112,4.43116426467896,1.23449836254731,0.848747243265529,0.46533191204071,0.433090329170227,False
